action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,Not Determined,18763700,[],CHEMBL4266989,Inhibition of full-length NSD2 (unknown origin) using HeLa oligonucleosome as substrate preincubated for 15 mins followed by substrate addition measured after 45 mins in presence of SAM by MTaseGlo assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cn1c(N)c(C#N)c2cc(OCc3cccc(NC(=O)C(N)CO)c3)ccc21,,,CHEMBL4265895,Bioorg Med Chem Lett,2018,,CHEMBL4287966,,CHEMBL4287966,,0,,3117748,,1,0,,,IC50,,,,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,,,,
,,18763701,[],CHEMBL4266989,Inhibition of full-length NSD2 (unknown origin) using HeLa oligonucleosome as substrate preincubated for 15 mins followed by substrate addition measured after 45 mins in presence of SAM by MTaseGlo assay,B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1c(N)[nH]c2ccc(OCc3ccccc3)cc12,,,CHEMBL4265895,Bioorg Med Chem Lett,2018,"{'bei': '16.37', 'le': '0.29', 'lle': '1.11', 'sei': '5.76'}",CHEMBL4280063,,CHEMBL4280063,4.31,0,http://www.openphacts.org/units/Nanomolar,3117749,=,1,1,=,,IC50,nM,,49000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,49.0
,,18763702,[],CHEMBL4266989,Inhibition of full-length NSD2 (unknown origin) using HeLa oligonucleosome as substrate preincubated for 15 mins followed by substrate addition measured after 45 mins in presence of SAM by MTaseGlo assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cn1c(N)c(C#N)c2cc(OCc3ccccc3)ccc21,,,CHEMBL4265895,Bioorg Med Chem Lett,2018,,CHEMBL4284586,,CHEMBL4284586,,0,http://www.openphacts.org/units/Nanomolar,3117750,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,100.0
,Not Determined,18763703,[],CHEMBL4266989,Inhibition of full-length NSD2 (unknown origin) using HeLa oligonucleosome as substrate preincubated for 15 mins followed by substrate addition measured after 45 mins in presence of SAM by MTaseGlo assay,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)C(=O)Nc1[nH]c2ccc(OCc3ccccc3)cc2c1C#N,,,CHEMBL4265895,Bioorg Med Chem Lett,2018,,CHEMBL4295236,,CHEMBL4295236,,0,,3117751,,1,0,,,IC50,,,,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,,,,
,,18763704,[],CHEMBL4266989,Inhibition of full-length NSD2 (unknown origin) using HeLa oligonucleosome as substrate preincubated for 15 mins followed by substrate addition measured after 45 mins in presence of SAM by MTaseGlo assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cn1c(N)c(C#N)c2cc(OCc3cccc(N)c3)ccc21,,,CHEMBL4265895,Bioorg Med Chem Lett,2018,,CHEMBL4281164,,CHEMBL4281164,,0,http://www.openphacts.org/units/Nanomolar,3117752,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,100.0
,,18763705,[],CHEMBL4266989,Inhibition of full-length NSD2 (unknown origin) using HeLa oligonucleosome as substrate preincubated for 15 mins followed by substrate addition measured after 45 mins in presence of SAM by MTaseGlo assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cn1c(N)c(C#N)c2cc(Oc3ccc(NC(=O)CN)cc3)ccc21,,,CHEMBL4265895,Bioorg Med Chem Lett,2018,"{'bei': '12.90', 'le': '0.24', 'lle': '2.01', 'sei': '3.63'}",CHEMBL3422653,,CHEMBL3422653,4.33,0,http://www.openphacts.org/units/Nanomolar,3117753,=,1,1,=,,IC50,nM,,47000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,47.0
,Not Determined,18763706,[],CHEMBL4266989,Inhibition of full-length NSD2 (unknown origin) using HeLa oligonucleosome as substrate preincubated for 15 mins followed by substrate addition measured after 45 mins in presence of SAM by MTaseGlo assay,B,,,BAO_0000190,BAO_0000357,single protein format,CCn1cc(C#N)c2cc(Oc3ccc(NC(=O)CN)cc3)ccc21,,,CHEMBL4265895,Bioorg Med Chem Lett,2018,,CHEMBL3422661,,CHEMBL3422661,,0,,3117754,,1,0,,,IC50,,,,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,,,,
,,18763707,[],CHEMBL4266989,Inhibition of full-length NSD2 (unknown origin) using HeLa oligonucleosome as substrate preincubated for 15 mins followed by substrate addition measured after 45 mins in presence of SAM by MTaseGlo assay,B,,,BAO_0000190,BAO_0000357,single protein format,CCn1c(N)c(C#N)c2cc(Oc3ccc(NC(=O)CN)cc3)ccc21,,,CHEMBL4265895,Bioorg Med Chem Lett,2018,"{'bei': '14.08', 'le': '0.26', 'lle': '2.12', 'sei': '4.13'}",CHEMBL3422652,,CHEMBL3422652,4.92,0,http://www.openphacts.org/units/Nanomolar,3117755,=,1,1,=,,IC50,nM,,12000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,12.0
,,18763708,[],CHEMBL4266989,Inhibition of full-length NSD2 (unknown origin) using HeLa oligonucleosome as substrate preincubated for 15 mins followed by substrate addition measured after 45 mins in presence of SAM by MTaseGlo assay,B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1c(N)n(CC2CC2)c2ccc(Oc3ccc(NC(=O)CN)cc3)cc12,,,CHEMBL4265895,Bioorg Med Chem Lett,2018,"{'bei': '13.95', 'le': '0.26', 'lle': '2.05', 'sei': '4.40'}",CHEMBL4295161,,CHEMBL4295161,5.24,0,http://www.openphacts.org/units/Nanomolar,3117756,=,1,1,=,,IC50,nM,,5800.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,5.8
,Not Determined,18763709,[],CHEMBL4266989,Inhibition of full-length NSD2 (unknown origin) using HeLa oligonucleosome as substrate preincubated for 15 mins followed by substrate addition measured after 45 mins in presence of SAM by MTaseGlo assay,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)C(=O)Cn1c(N)c(C#N)c2cc(Oc3ccc(NC(=O)CN)cc3)ccc21,,,CHEMBL4265895,Bioorg Med Chem Lett,2018,,CHEMBL3422659,,CHEMBL3422659,,0,,3117757,,1,0,,,IC50,,,,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,,,,
